0	able.a.01
1	unable.a.01
2	abaxial.a.01
3	adaxial.a.01
4	acroscopic.a.01
5	basiscopic.a.01
6	abducent.a.01
7	adducent.a.01
8	nascent.a.01
9	emergent.s.02
10	dissilient.s.01
11	parturient.s.02
12	dying.a.01
13	moribund.s.02
14	last.s.05
15	abridged.a.01
16	cut.s.03
17	half-length.s.02
18	potted.s.03
19	unabridged.a.01
20	full-length.s.02
21	absolute.a.01
22	direct.s.10
23	implicit.s.02
24	infinite.s.04
25	living.s.03
26	relative.a.01
27	relational.s.01
28	absorbent.a.01
29	absorbefacient.s.01
30	assimilating.s.01
31	hygroscopic.s.01
32	receptive.s.04
33	shock-absorbent.s.01
34	spongy.s.02
35	thirsty.s.04
36	nonabsorbent.a.01
37	repellent.s.03
38	adsorbent.a.01
39	chemisorptive.s.01
40	nonadsorbent.a.01
41	absorbable.a.01
42	adsorbable.a.01
43	abstemious.a.01
44	abstinent.s.01
45	ascetic.s.02
46	gluttonous.a.01
47	crapulous.s.02
48	crapulent.s.01
49	edacious.s.01
50	greedy.s.03
51	hoggish.s.01
52	overgreedy.s.01
53	abstract.a.01
54	conceptional.s.01
55	conceptual.s.01
56	ideal.s.02
57	ideological.s.02
58	concrete.a.01
59	objective.s.04
60	real.s.04
61	abundant.a.01
62	abounding.s.01
63	ample.s.02
64	copious.s.01
65	easy.s.12
66	exuberant.s.03
67	thick.s.10
68	long.s.09
69	overabundant.s.01
70	plentiful.s.01
71	rampant.s.03
72	rank.s.05
73	superabundant.s.01
74	teeming.s.01
75	torrential.s.03
76	verdant.s.01
77	scarce.a.01
78	rare.s.03
79	tight.s.06
80	abused.a.02
81	battered.s.03
82	unabused.a.01
83	acceptable.a.01
84	bankable.s.02
85	unexceptionable.s.01
86	unobjectionable.s.03
87	unacceptable.a.02
88	exceptionable.s.01
89	accessible.a.01
90	approachable.s.03
91	come-at-able.s.02
92	handy.s.01
93	inaccessible.a.01
94	outback.s.01
95	pathless.s.01
96	unapproachable.s.02
97	un-come-at-able.s.01
98	accommodating.a.01
99	complaisant.s.01
100	unaccommodating.a.01
101	disobliging.s.01
102	accurate.a.01
103	close.s.05
104	dead-on.s.01
105	high-fidelity.s.01
106	surgical.s.03
107	straight.s.05
108	true.s.02
109	veracious.s.02
110	inaccurate.a.01
111	away.s.03
112	faulty.s.02
113	unfaithful.s.04
114	wide.s.07
115	accustomed.a.01
116	used_to.s.01
117	unaccustomed.a.01
118	new.s.11
119	unused.s.04
120	acidic.a.01
121	acid.s.03
122	acid-forming.s.01
123	alkaline.a.01
124	alkalescent.s.01
125	basic.s.04
126	base-forming.s.01
127	saltlike.s.01
128	amphoteric.a.01
129	acid-loving.a.01
130	acidophilic.s.01
131	alkaline-loving.a.01
132	acknowledged.a.01
133	accepted.s.01
134	self-confessed.s.01
135	assumptive.s.02
136	declarable.s.01
137	given.s.01
138	putative.s.01
139	unacknowledged.a.01
140	unappreciated.s.02
141	unavowed.s.03
142	unconfessed.s.01
143	unrecognized.s.01
144	acquisitive.a.01
145	accumulative.s.02
146	avaricious.s.01
147	possessive.s.02
148	plundering.s.01
149	predaceous.s.02
150	rapacious.s.02
151	sordid.s.04
152	unacquisitive.a.01
153	acropetal.a.01
154	basipetal.a.01
155	active.a.05
156	about.s.01
157	acrobatic.s.01
158	agile.s.01
159	hot.s.21
160	hyperactive.s.01
161	on_the_go.s.01
162	sporty.s.03
163	inactive.a.09
164	desk-bound.s.01
165	abeyant.s.01
166	hypoactive.s.01
167	inert.s.03
168	sedentary.s.01
169	active.a.14
170	activated.s.04
171	inactive.a.08
172	off.s.05
173	retired.s.01
174	active.a.07
175	brisk.s.03
176	bustling.s.01
177	busy.s.04
178	going.s.01
179	open.s.21
180	springy.s.02
181	inactive.a.07
182	dark.s.11
183	dead.s.17
184	dull.s.08
185	idle.s.03
186	strikebound.s.01
187	active.a.01
188	progressive.s.06
189	inactive.a.02
190	dead-end.s.01
191	flat.s.15
192	indolent.s.02
193	latent.s.02
194	quiescent.s.04
195	active.a.03
196	activist.s.01
197	hands-on.s.01
198	proactive.s.02
199	passive.a.01
200	hands-off.s.01
201	resistless.s.02
202	active.a.13
203	eruptive.s.03
204	dormant.a.02
205	quiescent.s.03
206	extinct.a.02
207	dead.s.05
208	active.a.12
209	alive.s.07
210	active.a.11
211	stative.a.01
212	active.a.10
213	passive.a.03
214	active.a.06
215	activated.s.03
216	counteractive.s.01
217	surface-active.s.01
218	inactive.a.04
219	quiescent.s.01
220	active.a.09
221	quiet.a.06
222	actual.a.01
223	effective.s.05
224	potential.a.01
225	latent.s.01
226	acute.a.01
227	subacute.s.01
228	chronic.a.01
229	degenerative.s.01
230	virulent.a.02
231	highly_infective.s.01
232	deadly.s.06
233	avirulent.a.01
234	adaptive.a.01
235	accommodative.s.03
236	adaptational.s.01
237	adjustive.s.01
238	maladaptive.a.01
239	dysfunctional.s.02
240	maladjustive.s.01
241	addicted.a.01
242	alcoholic.s.02
243	dependent.s.06
244	unaddicted.a.01
245	clean.s.18
246	addictive.a.01
247	nonaddictive.a.01
248	additive.a.02
249	accumulative.s.01
250	addable.s.01
